Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho
omp;2;16;0,000052;0,000033;0,000091;;;;;
omp;2;16;0,000078;0,000033;0,000116;;;;;
omp;2;16;0,000078;0,000034;0,000118;;;;;
omp;2;16;0,000077;0,000033;0,000115;;;;;
omp;2;16;0,000051;0,000038;0,000095;;;;;
omp;2;16;0,000053;0,000038;0,000098;;;;;
\n;;;;;;;;;;
omp;2;32;0,000122;0,000042;0,000170;0,000146;;;;
omp;2;32;0,000120;0,000041;0,000166;;;;;
omp;2;32;0,000206;0,000071;0,000286;;;;;
omp;2;32;0,000125;0,000043;0,000174;;;;;
omp;2;32;0,000123;0,000042;0,000170;;;;;
omp;2;32;0,000197;0,000042;0,000244;;;;;
omp;2;32;0,000122;0,000046;0,000173;;;;;
omp;2;32;0,000121;0,000046;0,000172;;;;;
omp;2;32;0,000125;0,000047;0,000178;;;;;
omp;2;32;0,000200;0,000046;0,000252;;;;;
\n;;;;;;;;;;
omp;2;64;0,000646;0,000100;0,000751;0,000478;;;;
omp;2;64;0,000645;0,000092;0,000743;;;;;
omp;2;64;0,000376;0,000090;0,000472;;;;;
omp;2;64;0,000382;0,000090;0,000477;;;;;
omp;2;64;0,000649;0,000091;0,000748;;;;;
omp;2;64;0,000386;0,000091;0,000484;;;;;
omp;2;64;0,000464;0,000090;0,000559;;;;;
omp;2;64;0,000375;0,000088;0,000470;;;;;
omp;2;64;0,000379;0,000101;0,000486;;;;;
omp;2;64;0,000474;0,000091;0,000571;;;;;
\n;;;;;;;;;;
omp;2;128;0,001397;0,000268;0,001671;0,001926;;;;
omp;2;128;0,002511;0,000538;0,003059;;;;;
omp;2;128;0,001395;0,000406;0,001808;;;;;
omp;2;128;0,003058;0,000676;0,003745;;;;;
omp;2;128;0,002683;0,000278;0,002967;;;;;
omp;2;128;0,001374;0,000273;0,001653;;;;;
omp;2;128;0,001381;0,000266;0,001652;;;;;
omp;2;128;0,001382;0,000263;0,001651;;;;;
omp;2;128;0,001380;0,000268;0,001654;;;;;
omp;2;128;0,002702;0,000533;0,003246;;;;;
\n;;;;;;;;;;
omp;2;256;0,010031;0,000983;0,011020;0,005760;;;;
omp;2;256;0,005277;0,000961;0,006245;;;;;
omp;2;256;0,005301;0,000965;0,006273;;;;;
omp;2;256;0,005292;0,000988;0,006288;;;;;
omp;2;256;0,005291;0,000973;0,006271;;;;;
omp;2;256;0,005277;0,000997;0,006280;;;;;
omp;2;256;0,005296;0,001003;0,006306;;;;;
omp;2;256;0,005265;0,000981;0,006253;;;;;
omp;2;256;0,005283;0,001084;0,006374;;;;;
omp;2;256;0,005283;0,000976;0,006266;;;;;
\n;;;;;;;;;;
omp;2;512;0,020978;0,003883;0,024874;0,024433;;;;
omp;2;512;0,023964;0,004065;0,028043;;;;;
omp;2;512;0,028739;0,004013;0,032765;;;;;
omp;2;512;0,027383;0,004151;0,031548;;;;;
omp;2;512;0,024028;0,003904;0,027946;;;;;
omp;2;512;0,023758;0,004070;0,027843;;;;;
omp;2;512;0,023194;0,003921;0,027129;;;;;
omp;2;512;0,025172;0,004263;0,029450;;;;;
omp;2;512;0,024250;0,004153;0,028415;;;;;
omp;2;512;0,022863;0,003909;0,026786;;;;;
\n;;;;;;;;;;
omp;2;1024;0,087342;0,015089;0,102447;0,087719;;;;
omp;2;1024;0,087326;0,016880;0,104222;;;;;
omp;2;1024;0,086445;0,017400;0,103861;;;;;
omp;2;1024;0,086814;0,015487;0,102318;;;;;
omp;2;1024;0,088677;0,015723;0,104417;;;;;
omp;2;1024;0,087074;0,015436;0,102526;;;;;
omp;2;1024;0,087446;0,015537;0,102999;;;;;
omp;2;1024;0,090728;0,017490;0,108235;;;;;
omp;2;1024;0,088764;0,017055;0,105837;;;;;
omp;2;1024;0,086577;0,017290;0,103886;;;;;
\n;;;;;;;;;;
omp;2;2048;0,340331;0,075845;0,416195;0,344653;;;;
omp;2;2048;0,345465;0,073322;0,418808;;;;;
omp;2;2048;0,337555;0,370590;0,708167;;;;;
omp;2;2048;0,342104;0,073824;0,415946;;;;;
omp;2;2048;0,348661;0,077813;0,426492;;;;;
omp;2;2048;0,349748;0,077031;0,426799;;;;;
omp;2;2048;0,355286;0,081524;0,436829;;;;;
omp;2;2048;0,342320;0,078897;0,421240;;;;;
omp;2;2048;0,338755;0,073798;0,412573;;;;;
omp;2;2048;0,346309;0,090012;0,436344;;;;;
\n;;;;;;;;;;
omp;2;4096;1.356.824;0,345395;1.702.239;#DIV/0!;;;;
omp;2;4096;1.344.311;0,356061;1.700.395;;;;;
omp;2;4096;1.341.423;0,405843;1.747.286;;;;;
omp;2;4096;1.347.743;0,343713;1.691.476;;;;;
