Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho
pth;2;16;0,000357;0,000034;0,000398;;;;;
pth;2;16;0,000353;0,000035;0,000394;;;;;
pth;2;16;0,000282;0,000035;0,000323;;;;;
pth;2;16;0,000298;0,000057;0,000367;;;;;
pth;2;16;0,000224;0,000056;0,000292;;;;;
\n;;;;;;;;;;
pth;2;32;0,00065;0,000043;0,0007;0,0009623;;;;
pth;2;32;0,001127;0,000087;0,001221;;;;;
pth;2;32;0,000996;0,000075;0,001082;;;;;
pth;2;32;0,000651;0,000046;0,000704;;;;;
pth;2;32;0,000657;0,000048;0,000712;;;;;
pth;2;32;0,000985;0,000048;0,001039;;;;;
pth;2;32;0,001133;0,000045;0,001185;;;;;
pth;2;32;0,001133;0,000073;0,001217;;;;;
pth;2;32;0,001154;0,000076;0,001243;;;;;
pth;2;32;0,001137;0,000074;0,001222;;;;;
\n;;;;;;;;;;
pth;2;64;0,002505;0,000158;0,002674;0,0036621;;;;
pth;2;64;0,002506;0,000161;0,002679;;;;;
pth;2;64;0,004345;0,000156;0,004509;;;;;
pth;2;64;0,004375;0,000162;0,004549;;;;;
pth;2;64;0,003805;0,000162;0,003976;;;;;
pth;2;64;0,002494;0,000095;0,002596;;;;;
pth;2;64;0,004605;0,000111;0,004722;;;;;
pth;2;64;0,004169;0,000102;0,004278;;;;;
pth;2;64;0,003828;0,000177;0,004017;;;;;
pth;2;64;0,003989;0,000161;0,004162;;;;;
\n;;;;;;;;;;
pth;2;128;0,01436;0,00028;0,014652;0,0128727;;;;
pth;2;128;0,015101;0,00054;0,015649;;;;;
pth;2;128;0,010433;0,000529;0,010976;;;;;
pth;2;128;0,011986;0,000534;0,012529;;;;;
pth;2;128;0,01159;0,00034;0,011942;;;;;
pth;2;128;0,014279;0,000418;0,014707;;;;;
pth;2;128;0,009877;0,000547;0,010437;;;;;
pth;2;128;0,016163;0,000341;0,016513;;;;;
pth;2;128;0,01229;0,000285;0,012587;;;;;
pth;2;128;0,012648;0,000293;0,012953;;;;;
\n;;;;;;;;;;
pth;2;256;0,04359;0,001091;0,044696;0,0420961;;;;
pth;2;256;0,039078;0,001941;0,04103;;;;;
pth;2;256;0,041242;0,001;0,042256;;;;;
pth;2;256;0,043854;0,001686;0,04555;;;;;
pth;2;256;0,045118;0,00206;0,047188;;;;;
pth;2;256;0,042117;0,001953;0,044081;;;;;
pth;2;256;0,043422;0,001932;0,045365;;;;;
pth;2;256;0,039191;0,001085;0,040286;;;;;
pth;2;256;0,04207;0,001959;0,044045;;;;;
pth;2;256;0,041279;0,001951;0,043242;;;;;
\n;;;;;;;;;;
pth;2;512;0,16126;0,006926;0,168206;0,1593157;;;;
pth;2;512;0,161411;0,008435;0,169867;;;;;
pth;2;512;0,15992;0,007879;0,167821;;;;;
pth;2;512;0,15718;0,007548;0,164746;;;;;
pth;2;512;0,156622;0,007592;0,164231;;;;;
pth;2;512;0,156526;0,007558;0,164106;;;;;
pth;2;512;0,157767;0,007739;0,165524;;;;;
pth;2;512;0,159704;0,007703;0,167424;;;;;
pth;2;512;0,163229;0,007866;0,171118;;;;;
pth;2;512;0,159538;0,007656;0,167216;;;;;
\n;;;;;;;;;;
pth;2;1024;0,627095;0,023618;0,650732;0,6282129;;;;
pth;2;1024;0,627518;0,022161;0,649693;;;;;
pth;2;1024;0,631826;0,022045;0,653889;;;;;
pth;2;1024;0,630828;0,02921;0,660057;;;;;
pth;2;1024;0,625989;0,023684;0,649694;;;;;
pth;2;1024;0,627416;0,023063;0,650497;;;;;
pth;2;1024;0,630461;0,023816;0,654295;;;;;
pth;2;1024;0,628673;0,022597;0,651287;;;;;
pth;2;1024;0,624774;0,02209;0,646882;;;;;
pth;2;1024;0,627549;0,021197;0,64876;;;;;
\n;;;;;;;;;;
pth;2;2048;2,518322;0,08989;2,608233;2,5157147;;;;
pth;2;2048;2,523541;0,098438;2,622003;;;;;
pth;2;2048;2,517391;0,07927;2,596683;;;;;
pth;2;2048;2,5157;0,075322;2,59104;;;;;
pth;2;2048;2,536348;0,097237;2,633605;;;;;
pth;2;2048;2,499801;0,100686;2,600509;;;;;
pth;2;2048;2,520581;0,088507;2,609111;;;;;
pth;2;2048;2,521653;0,258197;2,77987;;;;;
pth;2;2048;2,502937;0,081272;2,584231;;;;;
pth;2;2048;2,500873;0,095631;2,596529;;;;;
\n;;;;;;;;;;
pth;2;4096;10,05075;0,396176;10,44695;10,0340524;;;;
pth;2;4096;10,036196;0,352602;10,388821;;;;;
pth;2;4096;10,004539;0,35428;10,358843;;;;;
pth;2;4096;10,072019;0,352829;10,42487;;;;;
pth;2;4096;10,023597;0,373172;10,396791;;;;;
pth;2;4096;10,029036;0,385091;10,41415;;;;;
pth;2;4096;10,045525;0,412144;10,457694;;;;;
pth;2;4096;9,993909;0,404386;10,398322;;;;;
pth;2;4096;10,056341;0,369099;10,425461;;;;;
pth;2;4096;10,028612;0,361702;10,390339;;;;;
\n;;;;;;;;;;
pth;2;8192;39,968224;1,478236;41,446476;40,0681505;;;;
pth;2;8192;40,045369;1,470872;41,516265;;;;;
pth;2;8192;40,059476;1,462221;41,521719;;;;;
pth;2;8192;40,114391;1,485569;41,599985;;;;;
pth;2;8192;40,200759;1,527226;41,728005;;;;;
pth;2;8192;39,977258;1,45806;41,435344;;;;;
pth;2;8192;40,152458;1,449345;41,601829;;;;;
pth;2;8192;40,145737;1,433479;41,579238;;;;;
pth;2;8192;40,023663;1,509692;41,53338;;;;;
pth;2;8192;39,99417;1,385187;41,379383;;;;;
\n;;;;;;;;;;
pth;4;16;0,000255;0,000066;0,000335;0,0002134;4,082067002;;6,586156373;
pth;4;16;0,000234;0,000041;0,000281;;;;;
pth;4;16;0,000234;0,000086;0,000332;;;;;
pth;4;16;0,000259;0,000062;0,000333;;;;;
pth;4;16;0,000229;0,000028;0,000268;;;;;
pth;4;16;0,000158;0,000035;0,000199;;;;;
pth;4;16;0,000158;0,000035;0,000201;;;;;
pth;4;16;0,000204;0,000059;0,000274;;;;;
pth;4;16;0,000204;0,000062;0,000278;;;;;
pth;4;16;0,000199;0,000057;0,000267;;;;;
\n;;;;;;;;;;
pth;4;32;0,000407;0,000046;0,000464;0,0005467;;;;
pth;4;32;0,000362;0,000044;0,000413;;;;;
pth;4;32;0,000596;0,000043;0,000646;;;;;
pth;4;32;0,000644;0,000073;0,000728;;;;;
pth;4;32;0,00062;0,000044;0,00067;;;;;
pth;4;32;0,000613;0,000073;0,000693;;;;;
pth;4;32;0,000609;0,000081;0,000703;;;;;
pth;4;32;0,000618;0,000044;0,000668;;;;;
pth;4;32;0,000602;0,000044;0,000653;;;;;
pth;4;32;0,000396;0,000044;0,000446;;;;;
\n;;;;;;;;;;
pth;4;64;0,001304;0,000091;0,001403;0,0018686;;;;
pth;4;64;0,002204;0,000158;0,002373;;;;;
pth;4;64;0,00225;0,000097;0,002354;;;;;
pth;4;64;0,002256;0,000091;0,002355;;;;;
pth;4;64;0,001777;0,000155;0,001945;;;;;
pth;4;64;0,001323;0,000108;0,001438;;;;;
pth;4;64;0,001812;0,000158;0,00198;;;;;
pth;4;64;0,002256;0,000093;0,002359;;;;;
pth;4;64;0,002183;0,000165;0,002357;;;;;
pth;4;64;0,001321;0,0001;0,001429;;;;;
\n;;;;;;;;;;
pth;4;128;0,007268;0,000308;0,007583;0,0061675;;;;
pth;4;128;0,006052;0,000333;0,006393;;;;;
pth;4;128;0,005066;0,000265;0,005338;;;;;
pth;4;128;0,005258;0,00033;0,005596;;;;;
pth;4;128;0,00527;0,000276;0,005552;;;;;
pth;4;128;0,005242;0,000282;0,005531;;;;;
pth;4;128;0,005221;0,000279;0,005508;;;;;
pth;4;128;0,008874;0,000386;0,00927;;;;;
pth;4;128;0,007213;0,000355;0,007576;;;;;
pth;4;128;0,006211;0,000298;0,006517;;;;;
\n;;;;;;;;;;
pth;4;256;0,023824;0,001709;0,025544;0,0226898;;;;
pth;4;256;0,022039;0,001048;0,023096;;;;;
pth;4;256;0,023405;0,001181;0,024595;;;;;
pth;4;256;0,021614;0,00101;0,022632;;;;;
pth;4;256;0,024446;0,00101;0,025465;;;;;
pth;4;256;0,020289;0,000999;0,021296;;;;;
pth;4;256;0,024534;0,001137;0,02568;;;;;
pth;4;256;0,022091;0,001005;0,023106;;;;;
pth;4;256;0,023564;0,000976;0,024552;;;;;
pth;4;256;0,021092;0,001007;0,022108;;;;;
\n;;;;;;;;;;
pth;4;512;0,089746;0,00755;0,097314;0,0862571;;;;
pth;4;512;0,087326;0,007338;0,094681;;;;;
pth;4;512;0,086819;0,007605;0,094445;;;;;
pth;4;512;0,091566;0,008559;0,100147;;;;;
pth;4;512;0,08533;0,006869;0,092218;;;;;
pth;4;512;0,081961;0,005117;0,087095;;;;;
