;Tamanho de entrada;Tempo de alocação de memória (s);Tempo de computação(s);Tempo de I/O;Tempo total(s);Média TAM;Média TC;Média TI/O;Média TT;Intervalo de Confiança;alfa;Desvio Padrão ;tamanho
seq;4096;0,280958;15,662337;0,336663;16,301216;;;;;;;;
seq;4096;0,282772;15,692095;0,327501;16,31132;;;;;;;;
seq;4096;0,295483;15,583762;0,327684;16,197279;;;;;;;;
seq;4096;0,281631;15,617888;0,324959;16,235017;;;;;;;;
seq;4096;0,277217;15,394862;0,308908;15,983224;;;;;;;;
\n;;;;;;;;;;;;;
seq;8192;1,078412;61,70326;1,292444;64,034326;0;0,00;0;63,9589193;;;;
seq;8192;1,065662;61,688935;1,33071;64,103762;;;;;;;;
seq;8192;1,091129;61,630285;1,334376;64,035729;;;;;;;;
seq;8192;1,110236;61,911768;1,354301;64,315725;;;;;;;;
seq;8192;1,089526;61,825278;1,285812;64,176334;;;;;;;;
seq;8192;1,077024;61,4423;1,290215;63,778672;;;;;;;;
seq;8192;1,088323;61,438855;1,170349;63,678223;;;;;;;;
seq;8192;1,080297;61,518416;1,31786;63,93128;;;;;;;;
seq;8192;1,132802;61,445924;1,264259;63,750854;;;;;;;;
seq;8192;1,120064;61,425015;1,311882;63,784288;;;;;;;;
\n;;;;;;;;;;;;;
;;;;;;;;;;;;;
