;Tamanho de entrada;Tempo de alocação de memória (s);Tempo de computação(s);Tempo de I/O;Tempo total(s);Média TAM;Média TC;Média TI/O;Média TT;Intervalo de Confiança;alfa;Desvio Padrão ;tamanho
seq;4096;0,279898;16,542123;0,353375;17,190744;;;;;;;;
seq;4096;0,288845;16,612109;0,335288;17,255513;;;;;;;;
seq;4096;0,288871;16,579225;0,345639;17,219144;;;;;;;;
seq;4096;0,28836;16,607096;0,322284;17,219967;;;;;;;;
seq;4096;0,288445;16,456583;0,336263;17,079872;;;;;;;;
\n;;;;;;;;;;;;;
seq;8192;1,095103;65,643188;1,214299;67,943451;0;0,00;0;0;;;;
seq;8192;1,140699;65,660788;1,344799;68,056439;;;;;;;;
seq;8192;1,092363;65,452024;1,31315;67,814957;;;;;;;;
seq;8192;1,093949;65,435164;1,321344;67,81299;;;;;;;;
seq;8192;1,121459;65,496909;1,193304;67,761333;;;;;;;;
seq;8192;1,089569;65,2909;1,28307;67,631074;;;;;;;;
seq;8192;1,085311;65,304622;1,276471;67,642781;;;;;;;;
seq;8192;1,101146;65,462461;1,317451;67,838642;;;;;;;;
seq;8192;1,07217;65,292413;1,285661;67,644098;;;;;;;;
seq;8192;1,087916;65,295899;1,31332;67,66928;;;;;;;;
\n;;;;;;;;;;;;;
;;;;;;;;;;;;;
